"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUS","GDP","TOT","USD_CAP","A","2017",51297.139196,
"AUS","GDP","TOT","USD_CAP","A","2018",53700.680893,
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",52614.377745,
"AUT","GDP","TOT","USD_CAP","A","2017",54652.468293,
"AUT","GDP","TOT","USD_CAP","A","2018",56889.351557,
"AUT","GDP","TOT","USD_CAP","A","2019",58619.848196,
"BEL","GDP","TOT","USD_CAP","A","2015",46214.082208,
"BEL","GDP","TOT","USD_CAP","A","2016",48626.6985,
"BEL","GDP","TOT","USD_CAP","A","2017",50772.331052,
"BEL","GDP","TOT","USD_CAP","A","2018",52282.556581,
"BEL","GDP","TOT","USD_CAP","A","2019",53675.259006,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.409504,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CAN","GDP","TOT","USD_CAP","A","2017",48633.836154,
"CAN","GDP","TOT","USD_CAP","A","2018",50077.786708,
"CAN","GDP","TOT","USD_CAP","A","2019",50966.775989,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35880.287434,
"CZE","GDP","TOT","USD_CAP","A","2017",38507.349496,
"CZE","GDP","TOT","USD_CAP","A","2018",40402.65213,
"CZE","GDP","TOT","USD_CAP","A","2019",42106.856526,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.304706,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"DNK","GDP","TOT","USD_CAP","A","2017",55045.621474,
"DNK","GDP","TOT","USD_CAP","A","2018",57214.807946,
"DNK","GDP","TOT","USD_CAP","A","2019",59065.794028,
"FIN","GDP","TOT","USD_CAP","A","2015",42501.611531,
"FIN","GDP","TOT","USD_CAP","A","2016",44929.949421,
"FIN","GDP","TOT","USD_CAP","A","2017",47481.358588,
"FIN","GDP","TOT","USD_CAP","A","2018",49525.788915,
"FIN","GDP","TOT","USD_CAP","A","2019",50712.029538,
"FRA","GDP","TOT","USD_CAP","A","2015",40840.848298,
"FRA","GDP","TOT","USD_CAP","A","2016",42853.539363,
"FRA","GDP","TOT","USD_CAP","A","2017",44651.364447,"P"
"FRA","GDP","TOT","USD_CAP","A","2018",46242.462474,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",47823.048503,"B"
"DEU","GDP","TOT","USD_CAP","A","2015",47683.547301,
"DEU","GDP","TOT","USD_CAP","A","2016",50564.049275,
"DEU","GDP","TOT","USD_CAP","A","2017",53011.742456,
"DEU","GDP","TOT","USD_CAP","A","2018",54456.783931,
"DEU","GDP","TOT","USD_CAP","A","2019",55737.442835,
"GRC","GDP","TOT","USD_CAP","A","2015",26902.327613,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27823.314892,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",29088.947934,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",30354.314639,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",31171.672881,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26668.040855,
"HUN","GDP","TOT","USD_CAP","A","2016",27699.630853,
"HUN","GDP","TOT","USD_CAP","A","2017",29529.309338,
"HUN","GDP","TOT","USD_CAP","A","2018",31578.759892,
"HUN","GDP","TOT","USD_CAP","A","2019",33792.388905,"P"
"ISL","GDP","TOT","USD_CAP","A","2015",48856.560901,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"ISL","GDP","TOT","USD_CAP","A","2017",55562.426662,
"ISL","GDP","TOT","USD_CAP","A","2018",57745.588159,
"ISL","GDP","TOT","USD_CAP","A","2019",58469.639916,"E"
"IRL","GDP","TOT","USD_CAP","A","2015",69147.029059,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"IRL","GDP","TOT","USD_CAP","A","2017",78211.410456,
"IRL","GDP","TOT","USD_CAP","A","2018",84575.437304,
"IRL","GDP","TOT","USD_CAP","A","2019",90140.764256,
"ITA","GDP","TOT","USD_CAP","A","2015",36909.296843,
"ITA","GDP","TOT","USD_CAP","A","2016",39922.933208,
"ITA","GDP","TOT","USD_CAP","A","2017",41784.603781,
"ITA","GDP","TOT","USD_CAP","A","2018",42790.060193,
"ITA","GDP","TOT","USD_CAP","A","2019",43889.22045,
"JPN","GDP","TOT","USD_CAP","A","2015",40406.095333,
"JPN","GDP","TOT","USD_CAP","A","2016",39990.049446,
"JPN","GDP","TOT","USD_CAP","A","2017",40884.616367,
"JPN","GDP","TOT","USD_CAP","A","2018",41363.670243,
"KOR","GDP","TOT","USD_CAP","A","2015",37907.460937,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"KOR","GDP","TOT","USD_CAP","A","2017",41000.995844,
"KOR","GDP","TOT","USD_CAP","A","2018",42135.780723,"P"
"LUX","GDP","TOT","USD_CAP","A","2015",103787.967646,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"LUX","GDP","TOT","USD_CAP","A","2017",112701.659716,
"LUX","GDP","TOT","USD_CAP","A","2018",116622.236253,
"MEX","GDP","TOT","USD_CAP","A","2015",18438.044081,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"MEX","GDP","TOT","USD_CAP","A","2017",20022.661214,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20659.867277,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",50301.845624,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NLD","GDP","TOT","USD_CAP","A","2017",55348.891835,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57563.957867,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",59321.299646,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37212.625668,
"NZL","GDP","TOT","USD_CAP","A","2016",39644.220476,
"NZL","GDP","TOT","USD_CAP","A","2017",41166.726882,
"NZL","GDP","TOT","USD_CAP","A","2018",42097.752261,"E"
"NOR","GDP","TOT","USD_CAP","A","2015",60357.280505,
"NOR","GDP","TOT","USD_CAP","A","2016",58917.28833,
"NOR","GDP","TOT","USD_CAP","A","2017",62940.203039,
"NOR","GDP","TOT","USD_CAP","A","2018",67613.655116,
"POL","GDP","TOT","USD_CAP","A","2015",26529.036797,
"POL","GDP","TOT","USD_CAP","A","2016",27947.390312,
"POL","GDP","TOT","USD_CAP","A","2017",29801.809392,
"POL","GDP","TOT","USD_CAP","A","2018",31393.471089,
"POL","GDP","TOT","USD_CAP","A","2019",33253.813315,
"PRT","GDP","TOT","USD_CAP","A","2015",29668.804155,
"PRT","GDP","TOT","USD_CAP","A","2016",31604.417531,
"PRT","GDP","TOT","USD_CAP","A","2017",33086.07203,
"PRT","GDP","TOT","USD_CAP","A","2018",34340.771,"P"
"PRT","GDP","TOT","USD_CAP","A","2019",35954.218953,"E"
"SVK","GDP","TOT","USD_CAP","A","2015",29932.196336,
"SVK","GDP","TOT","USD_CAP","A","2016",29651.534784,
"SVK","GDP","TOT","USD_CAP","A","2017",30910.718734,
"SVK","GDP","TOT","USD_CAP","A","2018",32621.221032,
"SVK","GDP","TOT","USD_CAP","A","2019",33921.0313,
"ESP","GDP","TOT","USD_CAP","A","2015",34938.581464,
"ESP","GDP","TOT","USD_CAP","A","2016",37309.865924,
"ESP","GDP","TOT","USD_CAP","A","2017",39626.846666,"P"
"ESP","GDP","TOT","USD_CAP","A","2018",40542.184587,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",41723.844828,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",48974.93343,
"SWE","GDP","TOT","USD_CAP","A","2016",50433.852154,
"SWE","GDP","TOT","USD_CAP","A","2017",52692.844717,
"SWE","GDP","TOT","USD_CAP","A","2018",53807.789042,
"SWE","GDP","TOT","USD_CAP","A","2019",54833.903991,
"CHE","GDP","TOT","USD_CAP","A","2015",63938.958241,
"CHE","GDP","TOT","USD_CAP","A","2016",65720.161893,
"CHE","GDP","TOT","USD_CAP","A","2017",67139.04087,
"CHE","GDP","TOT","USD_CAP","A","2018",69357.504185,
"CHE","GDP","TOT","USD_CAP","A","2019",70485.014502,"P"
"TUR","GDP","TOT","USD_CAP","A","2015",25727.604649,
"TUR","GDP","TOT","USD_CAP","A","2016",26509.937205,
"TUR","GDP","TOT","USD_CAP","A","2017",28208.552414,
"TUR","GDP","TOT","USD_CAP","A","2018",28454.631556,
"GBR","GDP","TOT","USD_CAP","A","2015",42522.183841,
"GBR","GDP","TOT","USD_CAP","A","2016",44138.043208,
"GBR","GDP","TOT","USD_CAP","A","2017",45987.961004,
"GBR","GDP","TOT","USD_CAP","A","2018",46973.254997,
"GBR","GDP","TOT","USD_CAP","A","2019",48092.184394,
"USA","GDP","TOT","USD_CAP","A","2015",56770.417349,
"USA","GDP","TOT","USD_CAP","A","2016",57884.491072,
"USA","GDP","TOT","USD_CAP","A","2017",59984.093912,
"USA","GDP","TOT","USD_CAP","A","2018",62852.658229,
"CHL","GDP","TOT","USD_CAP","A","2015",22593.272962,
"CHL","GDP","TOT","USD_CAP","A","2016",22615.767043,
"CHL","GDP","TOT","USD_CAP","A","2017",23657.208791,
"CHL","GDP","TOT","USD_CAP","A","2018",24709.122527,"E"
"CHN","GDP","TOT","USD_CAP","A","2015",14419.244821,
"CHN","GDP","TOT","USD_CAP","A","2016",15467.890286,
"CHN","GDP","TOT","USD_CAP","A","2017",16737.719358,
"COL","GDP","TOT","USD_CAP","A","2015",13807.774796,
"COL","GDP","TOT","USD_CAP","A","2016",14091.026182,
"COL","GDP","TOT","USD_CAP","A","2017",14392.318578,"P"
"EST","GDP","TOT","USD_CAP","A","2015",29444.318328,
"EST","GDP","TOT","USD_CAP","A","2016",31228.858877,
"EST","GDP","TOT","USD_CAP","A","2017",33866.759766,
"EST","GDP","TOT","USD_CAP","A","2018",36437.352038,
"EST","GDP","TOT","USD_CAP","A","2019",38463.030662,
"IND","GDP","TOT","USD_CAP","A","2015",6260.1356,
"IND","GDP","TOT","USD_CAP","A","2016",6717.282686,
"IDN","GDP","TOT","USD_CAP","A","2015",11189.583544,
"IDN","GDP","TOT","USD_CAP","A","2016",11732.330723,
"IDN","GDP","TOT","USD_CAP","A","2017",12410.741684,
"ISR","GDP","TOT","USD_CAP","A","2015",35449.501075,
"ISR","GDP","TOT","USD_CAP","A","2016",37855.603781,
"ISR","GDP","TOT","USD_CAP","A","2017",38982.658321,
"ISR","GDP","TOT","USD_CAP","A","2018",40269.498744,
"RUS","GDP","TOT","USD_CAP","A","2015",24061.099218,
"RUS","GDP","TOT","USD_CAP","A","2016",24237.580018,
"RUS","GDP","TOT","USD_CAP","A","2017",26079.077239,
"RUS","GDP","TOT","USD_CAP","A","2018",28556.986394,
"SVN","GDP","TOT","USD_CAP","A","2015",31640.32549,
"SVN","GDP","TOT","USD_CAP","A","2016",33875.006579,
"SVN","GDP","TOT","USD_CAP","A","2017",36660.871569,
"SVN","GDP","TOT","USD_CAP","A","2018",38785.508635,
"SVN","GDP","TOT","USD_CAP","A","2019",40020.248106,
"ZAF","GDP","TOT","USD_CAP","A","2015",13344.636344,
"ZAF","GDP","TOT","USD_CAP","A","2016",13386.682735,
"ZAF","GDP","TOT","USD_CAP","A","2017",13578.139445,
"EU28","GDP","TOT","USD_CAP","A","2015",38763.286943,
"EU28","GDP","TOT","USD_CAP","A","2016",41006.850115,
"EU28","GDP","TOT","USD_CAP","A","2017",43184.078117,
"EU28","GDP","TOT","USD_CAP","A","2018",44669.155385,
"EU28","GDP","TOT","USD_CAP","A","2019",46161.144788,
"OECD","GDP","TOT","USD_CAP","A","2015",41452.18371,"P"
"OECD","GDP","TOT","USD_CAP","A","2016",42861.274546,"P"
"OECD","GDP","TOT","USD_CAP","A","2017",44607.987232,"P"
"OECD","GDP","TOT","USD_CAP","A","2018",46173.4995,"E"
"OECDE","GDP","TOT","USD_CAP","A","2015",38524.677713,"P"
"OECDE","GDP","TOT","USD_CAP","A","2016",40494.670193,"P"
"OECDE","GDP","TOT","USD_CAP","A","2017",42569.376799,"P"
"OECDE","GDP","TOT","USD_CAP","A","2018",43880.340363,"P"
"LVA","GDP","TOT","USD_CAP","A","2015",24833.612206,
"LVA","GDP","TOT","USD_CAP","A","2016",26407.216397,
"LVA","GDP","TOT","USD_CAP","A","2017",28504.870548,
"LVA","GDP","TOT","USD_CAP","A","2018",30659.322053,
"LVA","GDP","TOT","USD_CAP","A","2019",32097.042302,
"BRA","GDP","TOT","USD_CAP","A","2015",15891.287814,
"BRA","GDP","TOT","USD_CAP","A","2016",15406.765126,
"BRA","GDP","TOT","USD_CAP","A","2017",15810.976299,
"LTU","GDP","TOT","USD_CAP","A","2015",28823.805581,
"LTU","GDP","TOT","USD_CAP","A","2016",30924.899739,
"LTU","GDP","TOT","USD_CAP","A","2017",33894.55513,
"LTU","GDP","TOT","USD_CAP","A","2018",35850.282727,
"LTU","GDP","TOT","USD_CAP","A","2019",38175.772595,
"SAU","GDP","TOT","USD_CAP","A","2015",54172.110832,
"SAU","GDP","TOT","USD_CAP","A","2016",54439.842335,
"EA19","GDP","TOT","USD_CAP","A","2015",41099.20379,
"EA19","GDP","TOT","USD_CAP","A","2016",43565.687832,
"EA19","GDP","TOT","USD_CAP","A","2017",45769.181406,
"EA19","GDP","TOT","USD_CAP","A","2018",47266.054278,
"EA19","GDP","TOT","USD_CAP","A","2019",48678.053036,
"ARG","GDP","TOT","USD_CAP","A","2015",20551.833194,
"ARG","GDP","TOT","USD_CAP","A","2016",20130.408028,
"ARG","GDP","TOT","USD_CAP","A","2017",20843.152226,
"CRI","GDP","TOT","USD_CAP","A","2015",15669.546565,
"CRI","GDP","TOT","USD_CAP","A","2016",16316.463656,
"CRI","GDP","TOT","USD_CAP","A","2017",16993.869787,"E"
"CRI","GDP","TOT","USD_CAP","A","2018",17639.853441,"E"
"BGR","GDP","TOT","USD_CAP","A","2015",18342.039892,"P"
"BGR","GDP","TOT","USD_CAP","A","2016",20009.53859,"P"
"BGR","GDP","TOT","USD_CAP","A","2017",21447.18693,"P"
"BGR","GDP","TOT","USD_CAP","A","2018",22670.47239,"P"
"HRV","GDP","TOT","USD_CAP","A","2015",22895.352447,
"HRV","GDP","TOT","USD_CAP","A","2016",24775.033488,
"HRV","GDP","TOT","USD_CAP","A","2017",26509.775472,
"HRV","GDP","TOT","USD_CAP","A","2018",28003.532585,"P"
"CYP","GDP","TOT","USD_CAP","A","2015",31722.290647,
"CYP","GDP","TOT","USD_CAP","A","2016",35609.099837,
"CYP","GDP","TOT","USD_CAP","A","2017",37915.706246,
"CYP","GDP","TOT","USD_CAP","A","2018",39858.882825,"P"
"MLT","GDP","TOT","USD_CAP","A","2015",36174.640577,
"MLT","GDP","TOT","USD_CAP","A","2016",39014.044722,
"MLT","GDP","TOT","USD_CAP","A","2017",41850.562372,
"MLT","GDP","TOT","USD_CAP","A","2018",43678.508915,
"ROU","GDP","TOT","USD_CAP","A","2015",21627.198095,
"ROU","GDP","TOT","USD_CAP","A","2016",24310.912177,
"ROU","GDP","TOT","USD_CAP","A","2017",27292.631737,
"ROU","GDP","TOT","USD_CAP","A","2018",29052.252126,"P"
"MKD","GDP","TOT","USD_CAP","A","2015",13891.9988,"E"
"MKD","GDP","TOT","USD_CAP","A","2016",15136.45706,"E"
"ZMB","GDP","TOT","USD_CAP","A","2015",3862.128452,
"ZMB","GDP","TOT","USD_CAP","A","2016",3937.429913,
"ZMB","GDP","TOT","USD_CAP","A","2017",4061.049167,
